rounds,comm_bytes,time,trials,mem_bytes,scheme,method,s,t,ok
6.0,20868.0,0.04801851619995432,1.0,95424.0,MAYO-1,Celi et al.,64,72,True
136.0,109332.0,11.912878119970628,1.0,455851.5,MAYO-1,Berkowitz,64,72,True
264.0,87272.0,0.18238506179659453,4.0,78466.2,MAYO-1,BDFC native,64,72,True
70.4,69104.4,0.07578404179948847,1.0,160860.6,MAYO-1,BDFC extended,64,72,True
6.0,47819.0,0.15939022499951533,1.0,218166.0,MAYO-3,Celi et al.,96,110,True
200.0,345123.0,29.55857874191861,1.0,1469305.5,MAYO-3,Berkowitz,96,110,True
411.4,251586.4,0.22649503080174327,4.2,183730.5,MAYO-3,BDFC native,96,110,True
121.4,194310.80000000002,0.10150330420256069,1.2,367458.6,MAYO-3,BDFC extended,96,110,True
7.2,101819.2,0.24553461679752214,1.4000000000000001,381504.0,MAYO-5,Celi et al.,128,144,True
264.0,786600.0,67.04283931198552,1.0,3395611.5,MAYO-5,Berkowitz,128,144,True
700.6,673029.3999999999,0.630791181803943,5.3999999999999995,331617.6,MAYO-5,BDFC native,128,144,True
134.0,344866.0,0.20899803300235362,1.0,663234.0,MAYO-5,BDFC extended,128,144,True
