q,s,b,empirical,predicted
16,24,1,0.16666666666666666,0.21247636776881448
16,24,2,0.5083333333333333,0.4398027071343342
16,24,3,0.6,0.5771963780556035
16,24,4,0.6166666666666667,0.6621447450865494
16,32,1,0.08333333333333333,0.12678878637700036
16,32,2,0.39166666666666666,0.3344597527304154
16,32,3,0.45,0.46981403660741705
16,32,4,0.5666666666666667,0.5771259232761377
16,44,1,0.041666666666666664,0.05844349259835923
16,44,2,0.25,0.2218057566662048
16,44,3,0.425,0.3569338912466262
16,44,4,0.5416666666666666,0.46962050445544773
16,64,1,0.03333333333333333,0.016075396350952634
16,64,2,0.08333333333333333,0.1118633261964906
16,64,3,0.20833333333333334,0.22153671880583092
16,64,4,0.31666666666666665,0.3330743313173343
256,24,1,0.9416666666666667,0.9103432218548987
256,24,2,0.9333333333333333,0.9539443918297499
256,24,3,0.95,0.9690551613535959
256,24,4,0.9833333333333333,0.9767004181684814
256,32,1,0.8166666666666667,0.8822809129497492
256,32,2,0.95,0.9390688013114405
256,32,3,0.975,0.9576993927373033
256,32,4,0.9833333333333333,0.96905515954859
256,44,1,0.8583333333333333,0.8418010543683498
256,44,2,0.9083333333333333,0.9171892202235337
256,44,3,0.9583333333333334,0.9427650228215126
256,44,4,0.95,0.957699333201172
256,64,1,0.8,0.7784196093554429
256,64,2,0.8833333333333333,0.881850213596506
256,64,3,0.9166666666666666,0.9172020675736039
256,64,4,0.9333333333333333,0.9390679022477433
