s,b,rounds,comm,time,trials,ok
32,1,67,16097,0.009341371995105874,1,True
32,2,51,10670,0.007485459005692974,1,True
32,3,46,9195,0.0074527099986880785,1,True
32,4,35,9850,0.008517666001353064,1,True
32,6,121,10135,0.03126515900839877,1,True
32,8,114,11583,0.04885115798060724,1,True
48,1,99,48465,0.015764667003168142,1,True
48,2,75,30086,0.013825295995047782,1,True
48,3,67,24489,0.013608834000478964,1,True
48,4,51,23742,0.014410293011678732,1,True
48,6,178,22261,0.049346506006259006,1,True
48,8,176,24417,0.0745279639850196,1,True
64,1,131,107969,0.02596595400609658,1,True
64,2,99,64350,0.021469746992806904,1,True
64,3,89,50513,0.02241513100307202,1,True
64,4,67,46338,0.02193941101177188,1,True
64,6,237,41663,0.06632957200963574,1,True
64,8,238,42883,0.10343745699537976,1,True
