method,s,t,parties,ok,leakage,rounds,comm,prep,mults,trials,time,peak_shared
CS19,8,8,3,True,image and kernel,3.0,264.0,336.0,576.0,1.0,0.001316555667168965,1944.0
CEN25,8,8,3,True,rank,5.0,520.0,784.0,1600.0,1.0,0.0021416243337929095,2712.0
CD01,8,8,3,True,none,26.0,27262.0,36158.0,1601.0,1.0,0.33778398532861803,79341.0
CKP07,8,8,3,True,none,18.0,14014.0,18410.0,1601.0,1.0,0.19861323799705133,41352.0
AOBV-B,8,8,3,True,none,23.0,908.0,1355.0,2623.0,1.0,0.0154822766714157,3435.0
BDFC,8,8,3,True,none,11.0,852.0,1225.0,973.0,1.0,0.0032345559987637293,4017.0
CS19,12,12,3,True,image and kernel,3.0,588.0,744.0,1872.0,1.0,0.0017940276666195132,4356.0
CEN25,12,12,3,True,rank,5.0,1164.0,1752.0,5328.0,1.0,0.0035153753336392888,6084.0
CD01,12,12,3,True,none,34.0,133338.0,176970.0,5329.0,1.0,1.546079515336411,391029.0
CKP07,12,12,3,True,none,20.0,56586.0,74257.0,5329.0,1.0,0.7429203046649491,166428.0
AOBV-B,12,12,3,True,none,31.0,2410.0,3593.0,10411.0,1.0,0.05071528033962143,9405.0
BDFC,12,12,3,True,none,15.0,1605.0,2348.0,2843.0,1.0,0.004634707336056938,6093.0
CS19,16,16,3,True,image and kernel,3.0,1040.0,1312.0,4352.0,1.0,0.001509263000722664,7728.0
CEN25,16,16,3,True,rank,5.0,2064.0,3104.0,12544.0,1.0,0.001956292334701478,10800.0
CD01,16,16,3,True,none,42.0,414198.0,550134.0,12545.0,1.0,1.2731072359941513,1220445.0
CKP07,16,16,3,True,none,22.0,157430.0,206768.0,12545.0,1.0,0.8917438340019241,463248.0
AOBV-B,16,16,3,True,none,39.0,4952.0,7383.0,28575.0,1.0,0.10748160667329407,19743.0
BDFC,16,16,3,True,none,19.0,2614.0,3935.0,6361.0,1.0,0.00559309833382334,9273.0
CS19,20,20,3,True,image and kernel,3.0,1620.0,2040.0,8400.0,1.0,0.001941069333042833,12060.0
CEN25,20,20,3,True,rank,5.0,3220.0,4840.0,24400.0,1.0,0.0026197910004460328,16860.0
CD01,20,20,3,True,none,50.0,1000786.0,1329986.0,24401.0,1.0,2.923208710981271,2958117.0
CKP07,20,20,3,True,none,23.0,328786.0,431879.0,24401.0,1.0,1.556327333995796,967380.0
AOBV-B,20,20,3,True,none,47.0,8790.0,13109.0,63579.0,1.0,0.21445379565860395,35601.0
BDFC,20,20,3,True,none,23.0,3911.0,6082.0,12071.0,1.0,0.006958750334888464,13509.0
CS19,24,24,3,True,image and kernel,3.0,2328.0,2928.0,14400.0,1.0,0.002598416333057685,17352.0
CEN25,24,24,3,True,rank,5.0,4632.0,6960.0,42048.0,1.0,0.0034076806665931745,24264.0
CD01,24,24,3,True,none,58.0,2060910.0,2740014.0,42049.0,1.0,7.136137878986119,6105165.0
CKP07,24,24,3,True,none,24.0,606510.0,797039.0,42049.0,1.0,3.2237538780063915,1785240.0
AOBV-B,24,24,3,True,none,55.0,14180.0,21155.0,123423.0,1.0,0.3777828466694094,58131.0
BDFC,24,24,3,True,none,27.0,5528.0,8885.0,20517.0,1.0,0.008561001335692708,18801.0
CS19,32,32,3,True,image and kernel,3.0,4128.0,5184.0,33792.0,1.0,0.0035973053339451626,30816.0
CEN25,32,32,3,True,rank,5.0,8224.0,12352.0,99328.0,1.0,0.005045972666266607,43104.0
CD01,32,32,3,True,none,74.0,6457318.0,8590310.0,99329.0,1.0,27.696791911999753,19184829.0
