n,t,errors,max_errors,recovered,identified,time
5,1,0,1,1.0,1.0,0.0001994861000033173
5,1,1,1,1.0,1.0,0.0002845944332875661
7,2,0,2,1.0,1.0,0.0003293319333048809
7,2,1,2,1.0,1.0,0.0005886972000250049
7,2,2,2,1.0,1.0,0.0007397985999584004
10,3,0,3,1.0,1.0,0.0005181500000010904
10,3,1,3,1.0,1.0,0.0007838819333604381
10,3,2,3,1.0,1.0,0.0008051805333404142
10,3,3,3,1.0,1.0,0.0010517416666819676
13,4,0,4,1.0,1.0,0.0009298027666469959
13,4,1,4,1.0,1.0,0.0008914055333661963
13,4,2,4,1.0,1.0,0.0012791764000212424
13,4,3,4,1.0,1.0,0.001398448599987508
13,4,4,4,1.0,1.0,0.0017116861000128361
16,5,0,5,1.0,1.0,0.0011629944666613787
16,5,1,5,1.0,1.0,0.0012844764000571256
16,5,2,5,1.0,1.0,0.0015911416666616182
16,5,3,5,1.0,1.0,0.0017796653000308046
16,5,4,5,1.0,1.0,0.002271545833355049
16,5,5,5,1.0,1.0,0.002481855566657032
